,Unnamed: 0,button,genuine,signature,time,user,x,y
0,0.0,0,1.0,1.0,0,,420,3009
1,1.0,1,1.0,1.0,10,,454,3099
2,2.0,1,1.0,1.0,20,,445,3148
3,3.0,1,1.0,1.0,30,,433,3197
4,4.0,1,1.0,1.0,40,,420,3271
5,5.0,1,1.0,1.0,50,,404,3347
6,6.0,1,1.0,1.0,60,,385,3412
7,7.0,1,1.0,1.0,70,,365,3469
8,8.0,1,1.0,1.0,80,,354,3502
9,9.0,1,1.0,1.0,90,,343,3514
10,10.0,1,1.0,1.0,100,,333,3514
11,11.0,1,1.0,1.0,110,,308,3498
12,12.0,1,1.0,1.0,120,,272,3430
13,13.0,1,1.0,1.0,130,,234,3326
14,14.0,1,1.0,1.0,140,,191,3132
15,15.0,1,1.0,1.0,150,,145,2852
16,16.0,1,1.0,1.0,160,,93,2516
17,17.0,1,1.0,1.0,170,,43,2130
18,18.0,1,1.0,1.0,180,,0,1757
19,19.0,1,1.0,1.0,190,,24,1393
20,20.0,1,1.0,1.0,200,,91,1191
21,21.0,1,1.0,1.0,210,,198,1167
22,22.0,1,1.0,1.0,220,,316,1261
23,23.0,1,1.0,1.0,230,,442,1386
24,24.0,1,1.0,1.0,240,,546,1518
25,25.0,1,1.0,1.0,250,,641,1656
26,26.0,1,1.0,1.0,260,,729,1797
27,27.0,1,1.0,1.0,270,,804,1954
28,28.0,1,1.0,1.0,280,,851,2121
29,29.0,1,1.0,1.0,290,,878,2282
30,30.0,1,1.0,1.0,300,,878,2448
31,31.0,1,1.0,1.0,310,,841,2624
32,32.0,1,1.0,1.0,320,,785,2744
33,33.0,1,1.0,1.0,330,,726,2827
34,34.0,1,1.0,1.0,340,,660,2795
35,35.0,1,1.0,1.0,350,,589,2686
36,36.0,1,1.0,1.0,360,,520,2525
37,37.0,1,1.0,1.0,370,,457,2290
38,38.0,1,1.0,1.0,380,,430,2025
39,39.0,1,1.0,1.0,390,,423,1741
40,40.0,1,1.0,1.0,400,,466,1571
41,41.0,1,1.0,1.0,410,,541,1511
42,42.0,1,1.0,1.0,420,,638,1525
43,43.0,1,1.0,1.0,430,,749,1574
44,44.0,1,1.0,1.0,440,,860,1646
45,45.0,1,1.0,1.0,450,,947,1733
46,46.0,1,1.0,1.0,460,,1017,1809
47,47.0,1,1.0,1.0,470,,1070,1877
48,48.0,1,1.0,1.0,480,,1106,1941
49,49.0,0,1.0,1.0,611,,1077,2881
50,50.0,1,1.0,1.0,621,,1077,2881
51,51.0,1,1.0,1.0,631,,1077,2881
52,52.0,1,1.0,1.0,641,,1077,2881
53,53.0,1,1.0,1.0,651,,1118,2945
54,54.0,1,1.0,1.0,661,,1118,2945
55,55.0,1,1.0,1.0,671,,1118,2945
56,56.0,1,1.0,1.0,681,,1110,2935
57,57.0,1,1.0,1.0,691,,1099,2839
58,58.0,1,1.0,1.0,701,,1088,2687
59,59.0,1,1.0,1.0,711,,1075,2470
60,60.0,1,1.0,1.0,721,,1058,2223
61,61.0,1,1.0,1.0,731,,1040,1955
62,62.0,1,1.0,1.0,741,,1030,1712
63,63.0,1,1.0,1.0,751,,1047,1575
64,64.0,1,1.0,1.0,761,,1081,1508
65,65.0,1,1.0,1.0,771,,1143,1496
66,66.0,1,1.0,1.0,781,,1235,1556
67,67.0,1,1.0,1.0,791,,1348,1663
68,68.0,1,1.0,1.0,801,,1431,1812
69,69.0,1,1.0,1.0,811,,1510,1972
70,70.0,1,1.0,1.0,821,,1586,2140
71,71.0,1,1.0,1.0,831,,1658,2281
72,72.0,1,1.0,1.0,841,,1719,2425
73,73.0,1,1.0,1.0,851,,1773,2587
74,74.0,1,1.0,1.0,861,,1803,2760
75,75.0,1,1.0,1.0,871,,1803,2972
76,76.0,1,1.0,1.0,881,,1772,3157
