,Unnamed: 0,button,genuine,signature,time,user,x,y
0,0.0,0,1.0,1.0,0,,32,2183
1,1.0,1,1.0,1.0,10,,44,2208
2,2.0,1,1.0,1.0,20,,34,2220
3,3.0,1,1.0,1.0,30,,34,2220
4,4.0,1,1.0,1.0,40,,34,2226
5,5.0,1,1.0,1.0,50,,34,2226
6,6.0,1,1.0,1.0,60,,34,2226
7,7.0,1,1.0,1.0,70,,34,2219
8,8.0,1,1.0,1.0,80,,48,2172
9,9.0,1,1.0,1.0,90,,71,2095
10,10.0,1,1.0,1.0,100,,89,1914
11,11.0,1,1.0,1.0,110,,89,1678
12,12.0,1,1.0,1.0,120,,69,1406
13,13.0,1,1.0,1.0,130,,45,1119
14,14.0,1,1.0,1.0,140,,22,887
15,15.0,1,1.0,1.0,150,,0,691
16,16.0,1,1.0,1.0,160,,0,545
17,17.0,1,1.0,1.0,170,,0,441
18,18.0,1,1.0,1.0,180,,0,366
19,19.0,1,1.0,1.0,190,,8,335
20,20.0,1,1.0,1.0,200,,8,328
21,21.0,0,1.0,1.0,361,,415,2618
22,22.0,1,1.0,1.0,371,,454,2722
23,23.0,1,1.0,1.0,381,,440,2774
24,24.0,1,1.0,1.0,391,,431,2791
25,25.0,1,1.0,1.0,401,,431,2785
26,26.0,1,1.0,1.0,411,,431,2785
27,27.0,0,1.0,1.0,491,,428,2518
28,28.0,1,1.0,1.0,501,,538,2548
29,29.0,1,1.0,1.0,511,,633,2607
30,30.0,1,1.0,1.0,521,,765,2694
31,31.0,1,1.0,1.0,531,,922,2799
32,32.0,1,1.0,1.0,541,,1065,2884
33,33.0,1,1.0,1.0,551,,1186,2932
34,34.0,1,1.0,1.0,561,,1292,2955
35,35.0,1,1.0,1.0,571,,1359,2944
36,36.0,1,1.0,1.0,581,,1410,2899
37,37.0,1,1.0,1.0,591,,1450,2832
38,38.0,1,1.0,1.0,601,,1471,2685
39,39.0,1,1.0,1.0,611,,1478,2459
40,40.0,1,1.0,1.0,621,,1478,2181
41,41.0,1,1.0,1.0,631,,1465,1906
42,42.0,1,1.0,1.0,641,,1457,1616
43,43.0,1,1.0,1.0,651,,1457,1317
44,44.0,1,1.0,1.0,661,,1457,1035
45,45.0,1,1.0,1.0,681,,1457,789
46,46.0,1,1.0,1.0,691,,1457,567
47,47.0,1,1.0,1.0,701,,1464,372
48,48.0,1,1.0,1.0,711,,1469,217
49,49.0,1,1.0,1.0,721,,1474,88
50,50.0,1,1.0,1.0,731,,1481,24
51,51.0,1,1.0,1.0,741,,1481,0
52,52.0,0,1.0,1.0,911,,874,1704
53,53.0,1,1.0,1.0,921,,874,1796
54,54.0,1,1.0,1.0,931,,862,1821
55,55.0,1,1.0,1.0,941,,862,1832
56,56.0,1,1.0,1.0,951,,873,1838
57,57.0,1,1.0,1.0,961,,898,1856
58,58.0,1,1.0,1.0,971,,928,1881
59,59.0,1,1.0,1.0,981,,968,1903
60,60.0,0,1.0,1.0,1092,,885,1647
61,61.0,1,1.0,1.0,1102,,885,1585
62,62.0,1,1.0,1.0,1112,,885,1585
63,63.0,1,1.0,1.0,1122,,879,1615
64,64.0,1,1.0,1.0,1132,,888,1615
65,65.0,1,1.0,1.0,1142,,900,1622
66,66.0,1,1.0,1.0,1152,,920,1630
67,67.0,1,1.0,1.0,1162,,957,1641
68,68.0,1,1.0,1.0,1172,,1004,1649
69,69.0,0,1.0,1.0,1302,,838,1258
70,70.0,1,1.0,1.0,1312,,830,1229
71,71.0,1,1.0,1.0,1322,,822,1229
72,72.0,1,1.0,1.0,1332,,830,1229
73,73.0,1,1.0,1.0,1342,,841,1229
74,74.0,1,1.0,1.0,1352,,860,1238
75,75.0,1,1.0,1.0,1362,,886,1246
76,76.0,1,1.0,1.0,1372,,926,1255
77,77.0,0,1.0,1.0,1903,,3452,2384
78,78.0,1,1.0,1.0,1913,,3452,2384
79,79.0,1,1.0,1.0,1923,,3452,2384
80,80.0,1,1.0,1.0,1933,,3412,2416
81,81.0,1,1.0,1.0,1943,,3459,2432
82,82.0,1,1.0,1.0,1953,,3530,2475
83,83.0,1,1.0,1.0,1963,,3616,2506
84,84.0,1,1.0,1.0,1973,,3704,2529
85,85.0,1,1.0,1.0,1983,,3792,2596
86,86.0,0,1.0,1.0,2093,,3856,2817
87,87.0,1,1.0,1.0,2103,,3856,2817
88,88.0,1,1.0,1.0,2113,,3822,2835
89,89.0,1,1.0,1.0,2123,,3822,2835
90,90.0,1,1.0,1.0,2133,,3822,2835
91,91.0,1,1.0,1.0,2143,,3822,2835
92,92.0,1,1.0,1.0,2153,,3822,2835
93,93.0,1,1.0,1.0,2163,,3822,2782
94,94.0,1,1.0,1.0,2173,,3829,2723
95,95.0,1,1.0,1.0,2183,,3834,2654
96,96.0,0,1.0,1.0,2283,,3630,2266
97,97.0,1,1.0,1.0,2293,,3569,2175
98,98.0,1,1.0,1.0,2303,,3536,2160
99,99.0,1,1.0,1.0,2313,,3511,2154
100,100.0,1,1.0,1.0,2323,,3511,2148
101,101.0,1,1.0,1.0,2333,,3511,2142
102,102.0,1,1.0,1.0,2343,,3505,2125
103,103.0,1,1.0,1.0,2353,,3505,2106
104,104.0,1,1.0,1.0,2363,,3513,2086
105,105.0,1,1.0,1.0,2373,,3524,2067
106,106.0,1,1.0,1.0,2383,,3541,2061
107,107.0,1,1.0,1.0,2393,,3560,2061
108,108.0,1,1.0,1.0,2403,,3607,2082
109,109.0,1,1.0,1.0,2413,,3673,2128
110,110.0,1,1.0,1.0,2424,,3765,2190
111,111.0,1,1.0,1.0,2434,,3849,2245
112,112.0,1,1.0,1.0,2444,,3927,2297
113,113.0,1,1.0,1.0,2454,,3982,2328
114,114.0,1,1.0,1.0,2464,,4017,2345
115,115.0,1,1.0,1.0,2474,,4039,2345
116,116.0,1,1.0,1.0,2484,,4046,2350
117,117.0,1,1.0,1.0,2494,,4046,2350
118,118.0,1,1.0,1.0,2504,,4046,2343
119,119.0,1,1.0,1.0,2514,,4046,2316
120,120.0,0,1.0,1.0,2574,,3817,2053
121,121.0,1,1.0,1.0,2584,,3720,1962
122,122.0,1,1.0,1.0,2594,,3677,1939
123,123.0,1,1.0,1.0,2604,,3659,1931
124,124.0,1,1.0,1.0,2614,,3659,1931
125,125.0,1,1.0,1.0,2624,,3659,1931
126,126.0,1,1.0,1.0,2634,,3659,1931
127,127.0,1,1.0,1.0,2644,,3666,1931
128,128.0,1,1.0,1.0,2654,,3691,1931
129,129.0,1,1.0,1.0,2664,,3729,1945
130,130.0,0,1.0,1.0,2714,,3827,1954
131,131.0,1,1.0,1.0,2724,,3827,1954
132,132.0,1,1.0,1.0,2734,,3827,1954
133,133.0,1,1.0,1.0,2744,,3799,1921
134,134.0,1,1.0,1.0,2754,,3791,1913
135,135.0,1,1.0,1.0,2764,,3775,1878
136,136.0,1,1.0,1.0,2774,,3753,1827
137,137.0,1,1.0,1.0,2784,,3726,1771
138,138.0,1,1.0,1.0,2794,,3702,1721
139,139.0,1,1.0,1.0,2804,,3680,1677
140,140.0,1,1.0,1.0,2814,,3649,1620
141,141.0,1,1.0,1.0,2824,,3613,1557
142,142.0,1,1.0,1.0,2834,,3589,1509
143,143.0,0,1.0,1.0,2924,,3929,1816
144,144.0,1,1.0,1.0,2934,,3937,1682
145,145.0,1,1.0,1.0,2944,,3891,1661
146,146.0,1,1.0,1.0,2954,,3865,1609
147,147.0,1,1.0,1.0,2964,,3856,1536
148,148.0,1,1.0,1.0,2974,,3856,1488
149,149.0,1,1.0,1.0,2984,,3873,1453
150,150.0,1,1.0,1.0,2994,,3911,1426
151,151.0,1,1.0,1.0,3004,,3965,1401
152,152.0,1,1.0,1.0,3014,,4041,1401
153,153.0,1,1.0,1.0,3024,,4123,1418
154,154.0,1,1.0,1.0,3034,,4215,1453
155,155.0,1,1.0,1.0,3044,,4315,1497
156,156.0,1,1.0,1.0,3054,,4393,1547
157,157.0,0,1.0,1.0,3265,,4658,2742
158,158.0,1,1.0,1.0,3275,,4658,2742
159,159.0,1,1.0,1.0,3285,,4598,2765
160,160.0,1,1.0,1.0,3295,,4606,2803
161,161.0,1,1.0,1.0,3305,,4643,2832
162,162.0,1,1.0,1.0,3315,,4700,2870
163,163.0,1,1.0,1.0,3325,,4759,2914
164,164.0,1,1.0,1.0,3335,,4820,2940
165,165.0,1,1.0,1.0,3345,,4885,2969
166,166.0,0,1.0,1.0,3445,,4886,3148
167,167.0,1,1.0,1.0,3455,,4886,3148
168,168.0,1,1.0,1.0,3465,,4886,3148
169,169.0,1,1.0,1.0,3475,,4859,3172
170,170.0,1,1.0,1.0,3485,,4859,3172
171,171.0,1,1.0,1.0,3495,,4859,3162
172,172.0,1,1.0,1.0,3505,,4849,3147
173,173.0,1,1.0,1.0,3515,,4830,3101
174,174.0,1,1.0,1.0,3525,,4814,3039
175,175.0,1,1.0,1.0,3535,,4800,2981
176,176.0,1,1.0,1.0,3545,,4790,2919
177,177.0,1,1.0,1.0,3555,,4785,2852
178,178.0,1,1.0,1.0,3565,,4785,2782
179,179.0,0,1.0,1.0,3695,,4529,2488
180,180.0,1,1.0,1.0,3705,,4521,2440
181,181.0,1,1.0,1.0,3715,,4501,2440
182,182.0,1,1.0,1.0,3725,,4486,2430
183,183.0,1,1.0,1.0,3735,,4480,2399
184,184.0,1,1.0,1.0,3745,,4480,2355
185,185.0,1,1.0,1.0,3755,,4472,2309
186,186.0,1,1.0,1.0,3765,,4472,2257
187,187.0,1,1.0,1.0,3775,,4478,2211
188,188.0,1,1.0,1.0,3785,,4488,2171
189,189.0,1,1.0,1.0,3795,,4497,2145
190,190.0,1,1.0,1.0,3805,,4504,2133
191,191.0,1,1.0,1.0,3815,,4509,2133
